"2020-08-16T11:00:09Z","food","Food","0.2747909891841625"
"2020-08-16T11:00:09Z","business","Business","1.7310111519282299"
"2020-08-16T11:00:09Z","world","World news","2.6841710457676022"
"2020-08-16T10:45:09Z","stage","Stage","1.1695606447604814"
"2020-08-16T10:30:08Z","food","Food","1.9445289333661149"
"2020-08-16T10:06:30Z","sport","Sport","0.0"
"2020-08-16T10:06:09Z","world","World news","2.2550515257126422"
"2020-08-16T10:00:09Z","food","Food","1.9122053697866725"
"2020-08-16T10:00:09Z","travel","Travel","1.7517055168445514"
"2020-08-16T10:00:08Z","lifeandstyle","Life and style","1.6355405363367377"
"2020-08-16T10:00:08Z","technology","Technology","2.800935027927227"
"2020-08-16T10:00:08Z","us-news","US news","2.1340231851550993"
"2020-08-16T10:00:08Z","film","Film","1.005437320454939"
"2020-08-16T09:56:58Z","education","Education","1.3373637376483105"
"2020-08-16T09:30:07Z","stage","Stage","2.303485588327296"
"2020-08-16T09:30:07Z","books","Books","1.1898491430847988"
"2020-08-16T09:24:57Z","business","Business","1.074749985080724"
"2020-08-16T09:00:08Z","society","Society","3.163647850178738"
"2020-08-16T09:00:08Z","culture","Culture","2.845560851394249"
"2020-08-16T09:00:07Z","world","World news","1.763975364650632"
"2020-08-16T09:00:07Z","commentisfree","Opinion","1.987661943735535"
"2020-08-16T08:30:06Z","world","World news","1.7588215843789412"
"2020-08-16T08:30:06Z","tv-and-radio","Television & radio","1.416277388651624"
"2020-08-16T08:30:06Z","lifeandstyle","Life and style","1.4441721476978615"
"2020-08-16T08:15:06Z","commentisfree","Opinion","2.5771464445633057"
"2020-08-16T08:02:05Z","books","Books","2.649253954251683"
"2020-08-16T08:01:22Z","world","World news","1.4540055618832455"
"2020-08-16T08:00:07Z","lifeandstyle","Life and style","3.189931338220871"
"2020-08-16T08:00:07Z","food","Food","0.58180547018639"
"2020-08-16T08:00:06Z","music","Music","0.0"
"2020-08-16T08:00:06Z","money","Money","3.1111891025606164"
"2020-08-16T08:00:06Z","business","Business","1.9846019624227724"
"2020-08-16T08:00:06Z","lifeandstyle","Life and style","2.0308326347267105"
"2020-08-16T08:00:06Z","culture","Culture","1.4871928820742655"
"2020-08-16T08:00:05Z","artanddesign","Art and design","0.8531821114555542"
"2020-08-16T07:50:05Z","world","World news","0.0"
"2020-08-16T07:45:05Z","commentisfree","Opinion","1.3699135456981677"
"2020-08-16T07:38:05Z","artanddesign","Art and design","0.0"
"2020-08-16T07:30:05Z","environment","Environment","2.295416603515433"
"2020-08-16T07:30:05Z","books","Books","1.0845892718473602"
"2020-08-16T07:30:05Z","us-news","US news","3.382714145025105"
"2020-08-16T07:29:05Z","focus","Focus","1.1988060342471787"
"2020-08-16T07:15:04Z","commentisfree","Opinion","2.7655853475721193"
"2020-08-16T07:08:04Z","commentisfree","Opinion","1.8163432282556675"
"2020-08-16T07:03:04Z","football","Football","0.6697472466449512"
"2020-08-16T07:00:06Z","film","Film","1.2434663412663989"
"2020-08-16T07:00:06Z","lifeandstyle","Life and style","1.773477424390606"
"2020-08-16T07:00:06Z","culture","Culture","0.0"
"2020-08-16T07:00:06Z","sport","Sport","2.021366041967425"
"2020-08-16T07:00:05Z","us-news","US news","3.2245765894934073"
"2020-08-16T07:00:05Z","commentisfree","Opinion","1.3911892563655721"
"2020-08-16T07:00:05Z","fashion","Fashion","1.1866110080100203"
"2020-08-16T07:00:05Z","us-news","US news","2.4293089383162445"
"2020-08-16T07:00:05Z","football","Football","1.537198103089235"
"2020-08-16T06:59:04Z","world","World news","2.083169207436941"
"2020-08-16T06:45:04Z","commentisfree","Opinion","2.016452207529094"
"2020-08-16T06:44:04Z","world","World news","3.991219507791225"
"2020-08-16T06:39:02Z","uk-news","UK news","2.1901449017481576"
"2020-08-16T06:31:04Z","uk-news","UK news","2.5863119856028987"
"2020-08-16T06:30:04Z","commentisfree","Opinion","2.6824510104599084"
"2020-08-16T06:30:04Z","environment","Environment","1.3190123540365686"
"2020-08-16T06:29:27Z","education","Education","2.4030017910441406"
"2020-08-16T06:25:04Z","politics","Politics","2.697146102473539"
"2020-08-16T06:25:03Z","politics","Politics","2.3070409507852894"
"2020-08-16T06:22:03Z","world","World news","3.789033193944575"
"2020-08-16T06:21:03Z","film","Film","2.6329022262043265"
"2020-08-16T06:15:03Z","commentisfree","Opinion","2.0802374032419393"
"2020-08-16T06:13:03Z","world","World news","4.286784199652404"
"2020-08-16T06:09:03Z","education","Education","2.114793108727448"
"2020-08-16T06:06:03Z","business","Business","3.755539608380352"
"2020-08-16T06:05:03Z","world","World news","1.9268089880438986"
"2020-08-16T06:05:00Z","australia-news","Australia news","4.362798966572753"
"2020-08-16T06:00:30Z","sport","Sport","0.8043890698861073"
"2020-08-16T06:00:04Z","books","Books","1.967446561954064"
"2020-08-16T06:00:04Z","books","Books","2.5281575579359132"
"2020-08-16T06:00:04Z","travel","Travel","2.2035238107642066"
"2020-08-16T06:00:04Z","lifeandstyle","Life and style","0.0"
"2020-08-16T06:00:04Z","artanddesign","Art and design","1.3819972970580918"
"2020-08-16T06:00:03Z","society","Society","1.5488364527953746"
"2020-08-16T05:45:03Z","lifeandstyle","Life and style","0.913301193025789"
"2020-08-16T05:34:48Z","australia-news","Australia news","4.0649315580882135"
"2020-08-16T05:30:03Z","lifeandstyle","Life and style","1.3036633525141341"
"2020-08-16T05:30:02Z","commentisfree","Opinion","1.1994805033778806"
"2020-08-16T05:15:02Z","commentisfree","Opinion","1.9587042378193074"
"2020-08-16T05:15:02Z","lifeandstyle","Life and style","0.5597229518427213"
"2020-08-16T05:00:03Z","tv-and-radio","Television & radio","1.7484626634747307"
"2020-08-16T05:00:03Z","lifeandstyle","Life and style","1.3915674430180487"
"2020-08-16T05:00:03Z","food","Food","2.0751331882754678"
"2020-08-16T05:00:03Z","food","Food","1.4591985518387849"
"2020-08-16T05:00:03Z","commentisfree","Opinion","2.970814794734579"
"2020-08-16T05:00:02Z","commentisfree","Opinion","2.2390933906230797"
"2020-08-16T05:00:02Z","news","News","1.2795873029867952"
"2020-08-16T05:00:02Z","us-news","US news","2.3209949624049218"
"2020-08-16T05:00:02Z","commentisfree","Opinion","2.9915986763145463"
"2020-08-16T03:40:17Z","world","World news","4.096812597187164"
"2020-08-16T02:41:04Z","australia-news","Australia news","3.9832494523930033"
