"2020-05-31T23:30:20Z","black-hawk-every-ingredient-matters","Black Hawk: Every ingredient matters","2.186009506516079"
"2020-05-31T23:15:21Z","world","World news","4.2924340461834785"
"2020-05-31T23:10:32Z","world","World news","4.507718018051949"
"2020-05-31T23:01:25Z","education","Education","3.357077424197275"
"2020-05-31T23:01:25Z","uk-news","UK news","2.0724728723637424"
"2020-05-31T23:01:25Z","education","Education","3.3833018374180526"
"2020-05-31T23:01:25Z","crosswords","Crosswords","0.0"
"2020-05-31T23:01:24Z","world","World news","2.2341238592829096"
"2020-05-31T23:01:24Z","business","Business","2.886991179978946"
"2020-05-31T23:00:24Z","crosswords","Crosswords","0.0"
"2020-05-31T23:00:24Z","crosswords","Crosswords","0.0"
"2020-05-31T23:00:24Z","crosswords","Crosswords","0.0"
"2020-05-31T22:00:23Z","world","World news","1.6626950891076318"
"2020-05-31T21:57:22Z","sport","Sport","0.0"
"2020-05-31T21:53:54Z","us-news","US news","0.0"
"2020-05-31T21:50:13Z","artanddesign","Art and design","1.013940094031652"
"2020-05-31T21:48:19Z","sport","Sport","1.1736594360115844"
"2020-05-31T21:14:23Z","media","Media","1.6169466631866698"
"2020-05-31T20:55:49Z","australia-news","Australia news","3.177574788422617"
"2020-05-31T20:30:21Z","science","Science","0.0"
"2020-05-31T20:00:21Z","news","News","2.499630056695732"
"2020-05-31T18:30:31Z","money","Money","3.789133870701139"
"2020-05-31T18:28:05Z","football","Football","1.0094845087721023"
"2020-05-31T17:52:21Z","politics","Politics","3.7575549111712316"
"2020-05-31T17:52:02Z","football","Football","0.8544081473689815"
"2020-05-31T17:51:22Z","world","World news","3.2317653695941977"
"2020-05-31T17:49:00Z","commentisfree","Opinion","1.759846923429245"
"2020-05-31T17:44:12Z","sport","Sport","0.0"
"2020-05-31T17:42:41Z","commentisfree","Opinion","3.740361693332135"
"2020-05-31T17:41:16Z","world","World news","4.49418918518983"
"2020-05-31T17:41:10Z","commentisfree","Opinion","2.696502534009045"
"2020-05-31T17:30:19Z","australia-news","Australia news","4.217517263012779"
"2020-05-31T17:30:18Z","lifeandstyle","Life and style","2.6655696772351583"
"2020-05-31T17:30:18Z","tv-and-radio","Television & radio","1.2559865824477887"
"2020-05-31T17:30:18Z","australia-news","Australia news","2.2849837071749746"
"2020-05-31T17:30:18Z","media","Media","2.9295238465331925"
"2020-05-31T17:30:18Z","australia-news","Australia news","2.346204179559191"
"2020-05-31T17:25:31Z","world","World news","4.01404277839737"
"2020-05-31T17:22:29Z","us-news","US news","1.7084397310047041"
"2020-05-31T17:13:05Z","sport","Sport","2.6533349273292304"
"2020-05-31T17:08:36Z","education","Education","2.5125636052739013"
"2020-05-31T17:08:30Z","world","World news","3.7758746811023545"
"2020-05-31T17:05:24Z","world","World news","2.8326343471521493"
"2020-05-31T17:04:28Z","world","World news","3.808375133164045"
"2020-05-31T17:01:47Z","world","World news","2.6273440299108803"
"2020-05-31T16:45:46Z","commentisfree","Opinion","3.7955006895718335"
"2020-05-31T16:41:32Z","media","Media","1.6131817328251206"
"2020-05-31T16:39:22Z","us-news","US news","2.198173287754249"
"2020-05-31T16:33:54Z","world","World news","4.301152885578528"
"2020-05-31T16:32:40Z","us-news","US news","2.7957149593630426"
"2020-05-31T16:29:22Z","society","Society","4.108530486294962"
"2020-05-31T16:25:40Z","uk-news","UK news","1.3956670676775247"
"2020-05-31T16:25:26Z","world","World news","4.295020864935549"
"2020-05-31T16:15:04Z","education","Education","0.0"
"2020-05-31T16:06:44Z","science","Science","0.7609230442143259"
"2020-05-31T16:06:25Z","music","Music","0.5307930092798593"
"2020-05-31T16:03:21Z","world","World news","4.287119645678251"
"2020-05-31T15:59:09Z","uk-news","UK news","3.0436762708088296"
"2020-05-31T15:59:00Z","education","Education","1.1609554192422453"
"2020-05-31T15:53:18Z","us-news","US news","1.5055698859407671"
"2020-05-31T15:46:53Z","sport","Sport","1.5276861935248789"
"2020-05-31T15:36:59Z","education","Education","2.108501434835454"
"2020-05-31T15:23:33Z","education","Education","2.0700485347172295"
"2020-05-31T15:06:12Z","world","World news","2.0053897654024757"
"2020-05-31T15:00:15Z","uk-news","UK news","1.9140282541556968"
"2020-05-31T14:53:57Z","sport","Sport","1.5254305212468433"
"2020-05-31T14:40:12Z","us-news","US news","0.0"
"2020-05-31T14:25:54Z","world","World news","3.235786071348062"
"2020-05-31T14:22:35Z","education","Education","3.1639079778226096"
"2020-05-31T14:04:42Z","uk-news","UK news","1.6863523943002696"
"2020-05-31T14:03:44Z","football","Football","1.48984912367515"
"2020-05-31T14:00:14Z","lifeandstyle","Life and style","1.575747889051117"
"2020-05-31T14:00:13Z","artanddesign","Art and design","1.9616585060234524"
"2020-05-31T13:57:24Z","world","World news","3.5933841337565466"
"2020-05-31T13:48:02Z","sport","Sport","2.119844600291157"
"2020-05-31T13:44:34Z","lifeandstyle","Life and style","1.41943804993247"
"2020-05-31T13:39:37Z","tv-and-radio","Television & radio","2.2385678512367857"
"2020-05-31T13:38:14Z","film","Film","1.9037954734647697"
"2020-05-31T13:35:01Z","us-news","US news","0.0"
"2020-05-31T13:14:44Z","world","World news","3.2987302577402198"
"2020-05-31T13:00:12Z","commentisfree","Opinion","3.1911935861636094"
"2020-05-31T12:59:44Z","society","Society","2.842599175362394"
"2020-05-31T12:59:24Z","commentisfree","Opinion","3.3575432591525356"
"2020-05-31T12:45:44Z","sport","Sport","2.4037984776625025"
"2020-05-31T12:44:28Z","world","World news","3.0847640930071916"
"2020-05-31T12:41:30Z","world","World news","4.2616426247774974"
"2020-05-31T12:30:16Z","football","Football","1.969947534898742"
"2020-05-31T12:28:58Z","politics","Politics","3.4332962149606927"
"2020-05-31T12:24:14Z","commentisfree","Opinion","3.300249449005205"
"2020-05-31T12:19:25Z","us-news","US news","2.265037092220428"
"2020-05-31T12:19:05Z","stage","Stage","1.9984417434881927"
