"2020-10-21T15:48:03Z","world","World news","3.9350991723766926"
"2020-10-21T15:46:18Z","uk-news","UK news","1.2103885997469843"
"2020-10-21T15:39:53Z","world","World news","2.3936636137210456"
"2020-10-21T15:32:13Z","uk-news","UK news","4.050222970469108"
"2020-10-21T15:18:08Z","technology","Technology","1.5276861935248789"
"2020-10-21T15:18:08Z","commentisfree","Opinion","2.0391148186654915"
"2020-10-21T15:04:17Z","politics","Politics","3.825944031708373"
"2020-10-21T15:02:14Z","music","Music","1.9378112130556984"
"2020-10-21T15:00:36Z","food","Food","0.0"
"2020-10-21T15:00:01Z","film","Film","0.0"
"2020-10-21T15:00:01Z","environment","Environment","1.7484626634747307"
"2020-10-21T14:58:03Z","uk-news","UK news","2.344000550956003"
"2020-10-21T14:56:01Z","football","Football","1.3160094840414165"
"2020-10-21T14:50:58Z","politics","Politics","3.0013269516986174"
"2020-10-21T14:46:39Z","football","Football","0.0"
"2020-10-21T14:45:14Z","society","Society","2.73766512164114"
"2020-10-21T14:19:23Z","environment","Environment","1.4683917233070913"
"2020-10-21T14:00:11Z","artanddesign","Art and design","0.0"
"2020-10-21T13:59:36Z","world","World news","2.9568397740099335"
"2020-10-21T13:55:36Z","film","Film","1.3386079769814616"
"2020-10-21T13:54:48Z","politics","Politics","3.659219448769185"
"2020-10-21T13:43:04Z","uk-news","UK news","2.1634115363419384"
"2020-10-21T13:35:54Z","world","World news","0.5011498160606861"
"2020-10-21T13:31:44Z","us-news","US news","1.4541492274943129"
"2020-10-21T13:24:21Z","fashion","Fashion","1.5781853689299958"
"2020-10-21T13:24:12Z","environment","Environment","3.2453640003367803"
"2020-10-21T13:17:53Z","sport","Sport","1.5546296759391054"
"2020-10-21T13:12:47Z","early-careers-hub","Early careers hub","2.1467116874733936"
"2020-10-21T13:11:08Z","early-careers-hub","Early careers hub","2.5038875771681943"
"2020-10-21T13:09:44Z","early-careers-hub","Early careers hub","2.10684051586795"
"2020-10-21T13:08:06Z","early-careers-hub","Early careers hub","1.8373430765205154"
"2020-10-21T13:07:01Z","business","Business","2.5752187436093674"
"2020-10-21T13:06:37Z","early-careers-hub","Early careers hub","1.9390841839849136"
"2020-10-21T13:06:19Z","commentisfree","Opinion","2.884253837724642"
"2020-10-21T13:05:26Z","early-careers-hub","Early careers hub","1.6405497135860398"
"2020-10-21T13:00:11Z","film","Film","1.4041825640804564"
"2020-10-21T13:00:10Z","politics","Politics","3.8185550808151287"
"2020-10-21T13:00:08Z","education","Education","1.6062455713351274"
"2020-10-21T12:59:40Z","tv-and-radio","Television & radio","0.843254898468303"
