"2021-11-10T23:59:18Z","stage","Stage","0.0"
"2021-11-10T23:03:07Z","us-news","US news","2.1303006555131185"
"2021-11-10T23:02:54Z","world","World news","2.4985948129150435"
"2021-11-10T22:30:16Z","football","Football","2.236387237022241"
"2021-11-10T22:00:15Z","science","Science","3.9826762275193475"
"2021-11-10T22:00:15Z","sport","Sport","3.355145400728878"
"2021-11-10T21:28:05Z","australia-news","Australia news","1.4591140598241592"
"2021-11-10T21:25:04Z","environment","Environment","1.5665871188199234"
"2021-11-10T21:12:01Z","commentisfree","Opinion","1.955003971523885"
"2021-11-10T21:07:17Z","us-news","US news","1.0248860337886754"
"2021-11-10T21:04:54Z","us-news","US news","1.897635315997518"
"2021-11-10T21:00:14Z","news","News","2.5726320232379805"
"2021-11-10T20:54:39Z","politics","Politics","2.6319144421028784"
"2021-11-10T20:44:16Z","sport","Sport","0.8060996223222797"
"2021-11-10T20:37:24Z","politics","Politics","3.460209670869866"
"2021-11-10T20:30:13Z","sport","Sport","0.9272286574100866"
"2021-11-10T20:20:08Z","politics","Politics","1.9607042495336653"
"2021-11-10T20:14:54Z","us-news","US news","2.6816477261509433"
"2021-11-10T20:13:42Z","football","Football","0.8371426250174195"
"2021-11-10T20:09:35Z","world","World news","1.5367887297440384"
"2021-11-10T20:06:35Z","business","Business","1.477113035137919"
"2021-11-10T20:03:48Z","australia-news","Australia news","3.01168422454428"
"2021-11-10T19:59:07Z","sport","Sport","0.0"
"2021-11-10T19:57:16Z","environment","Environment","2.9001635933181356"
"2021-11-10T19:52:45Z","environment","Environment","2.137423533423857"
"2021-11-10T19:52:10Z","politics","Politics","1.8391208816311395"
"2021-11-10T19:46:04Z","sport","Sport","0.7185832780777207"
"2021-11-10T19:43:29Z","us-news","US news","1.8022527449438936"
"2021-11-10T19:42:02Z","football","Football","1.409105461906785"
"2021-11-10T19:33:10Z","technology","Technology","2.7090774705238894"
"2021-11-10T19:30:12Z","books","Books","1.7390070420594406"
"2021-11-10T19:27:32Z","football","Football","1.3509858707841944"
"2021-11-10T19:25:47Z","environment","Environment","1.193040368087932"
"2021-11-10T19:25:07Z","business","Business","1.9156726830380204"
"2021-11-10T19:24:34Z","media","Media","2.2145967850971306"
"2021-11-10T19:20:22Z","global-development","Global development","1.5537188891841396"
"2021-11-10T19:20:12Z","environment","Environment","2.2039455267625967"
"2021-11-10T19:07:20Z","commentisfree","Opinion","1.8887307789824563"
"2021-11-10T19:03:57Z","commentisfree","Opinion","3.1539080119499006"
"2021-11-10T19:03:38Z","commentisfree","Opinion","2.2858378638826533"
"2021-11-10T19:00:22Z","world","World news","3.9740555929145147"
"2021-11-10T19:00:12Z","lifeandstyle","Life and style","2.0550118895618334"
"2021-11-10T18:56:40Z","politics","Politics","2.0515127661548256"
"2021-11-10T18:50:51Z","football","Football","2.2949149269017033"
"2021-11-10T18:37:04Z","us-news","US news","1.0572770475912154"
"2021-11-10T18:28:48Z","culture","Culture","0.0"
"2021-11-10T18:26:24Z","society","Society","4.543950673602957"
"2021-11-10T18:22:50Z","politics","Politics","3.545982946375659"
"2021-11-10T18:20:30Z","society","Society","3.004686771100722"
"2021-11-10T18:17:26Z","sport","Sport","1.6416679313977391"
"2021-11-10T18:08:00Z","world","World news","2.447843232411113"
"2021-11-10T18:07:35Z","world","World news","1.0233610149927357"
"2021-11-10T18:05:58Z","sport","Sport","0.7256618434444868"
"2021-11-10T18:05:19Z","world","World news","0.7202039819474586"
"2021-11-10T18:04:03Z","sport","Sport","3.143895319590217"
"2021-11-10T18:03:34Z","us-news","US news","1.23648671071044"
"2021-11-10T18:03:11Z","business","Business","2.0920314196934395"
"2021-11-10T17:58:27Z","politics","Politics","3.046429197763423"
"2021-11-10T17:56:18Z","environment","Environment","1.5244929889505012"
"2021-11-10T17:54:49Z","science","Science","2.337469257103294"
"2021-11-10T17:54:39Z","uk-news","UK news","1.474596459128241"
"2021-11-10T17:50:01Z","football","Football","0.0"
"2021-11-10T17:49:44Z","education","Education","0.8218469707571279"
"2021-11-10T17:49:03Z","environment","Environment","0.5434989847010028"
"2021-11-10T17:43:46Z","commentisfree","Opinion","1.3550281181411608"
"2021-11-10T17:37:58Z","politics","Politics","1.434353531104725"
"2021-11-10T17:33:47Z","us-news","US news","0.8116252881842584"
"2021-11-10T17:33:37Z","politics","Politics","3.538874979592995"
"2021-11-10T17:31:58Z","news","News","0.0"
"2021-11-10T17:31:32Z","uk-news","UK news","1.25950002519192"
"2021-11-10T17:31:16Z","society","Society","2.531412824113505"
"2021-11-10T17:20:31Z","environment","Environment","1.2092878082402008"
"2021-11-10T17:12:30Z","society","Society","4.072984020977013"
"2021-11-10T17:08:22Z","lifeandstyle","Life and style","3.282452344969581"
"2021-11-10T16:45:28Z","world","World news","4.311938149744564"
"2021-11-10T16:41:09Z","commentisfree","Opinion","3.4951096929879393"
"2021-11-10T16:40:38Z","commentisfree","Opinion","0.47309925631671546"
"2021-11-10T16:30:55Z","world","World news","0.0"
"2021-11-10T16:30:11Z","business","Business","2.3893827719381995"
"2021-11-10T16:30:11Z","culture","Culture","0.8744782633019987"
"2021-11-10T16:30:11Z","sport","Sport","0.9584751419361788"
"2021-11-10T16:30:11Z","music","Music","1.9792076177056777"
"2021-11-10T16:30:10Z","australia-news","Australia news","1.3754432698842367"
"2021-11-10T16:30:10Z","lifeandstyle","Life and style","2.7279874269583884"
"2021-11-10T16:30:10Z","australia-news","Australia news","4.8221958443910236"
"2021-11-10T16:30:10Z","australia-news","Australia news","3.5641155565352522"
"2021-11-10T16:30:10Z","australia-news","Australia news","4.312544406680957"
"2021-11-10T16:30:10Z","environment","Environment","1.9667683791757231"
"2021-11-10T16:30:09Z","world","World news","2.8308635118690697"
"2021-11-10T16:30:09Z","business","Business","2.8044047674244412"
"2021-11-10T16:30:09Z","football","Football","1.7348451066400805"
"2021-11-10T16:30:09Z","australia-news","Australia news","2.366670612991367"
"2021-11-10T16:30:09Z","australia-news","Australia news","2.395225757064629"
"2021-11-10T16:26:24Z","world","World news","1.691492898597649"
"2021-11-10T16:26:18Z","culture","Culture","1.5435078304776946"
"2021-11-10T16:26:01Z","building-green-habits","Building green habits","1.6609657208989004"
"2021-11-10T16:24:28Z","building-green-habits","Building green habits","1.6954024407955701"
"2021-11-10T16:13:37Z","business","Business","1.7945426605598467"
"2021-11-10T16:05:17Z","commentisfree","Opinion","2.479622464187351"
"2021-11-10T16:04:55Z","football","Football","1.5468937044736828"
"2021-11-10T15:59:43Z","world","World news","4.210951561531965"
"2021-11-10T15:59:33Z","football","Football","0.9164407581290309"
"2021-11-10T15:51:24Z","world","World news","1.1539735158277966"
"2021-11-10T15:43:37Z","media","Media","2.169803504433144"
"2021-11-10T15:38:47Z","politics","Politics","2.69577015799997"
"2021-11-10T15:30:08Z","politics","Politics","1.890319902276383"
"2021-11-10T15:26:21Z","environment","Environment","2.0145485572550417"
"2021-11-10T15:24:43Z","technology","Technology","1.7689153902705987"
"2021-11-10T15:21:36Z","music","Music","1.1614577167616114"
"2021-11-10T15:12:07Z","environment","Environment","2.593678991931673"
"2021-11-10T15:06:14Z","business","Business","2.803968787172008"
"2021-11-10T15:00:07Z","games","Games","1.6989632551506153"
"2021-11-10T14:59:23Z","business","Business","0.8378860262048571"
"2021-11-10T14:56:37Z","tv-and-radio","Television & radio","0.0"
"2021-11-10T14:43:25Z","film","Film","1.6030684641486206"
"2021-11-10T14:42:13Z","education","Education","4.196274804772388"
"2021-11-10T14:26:28Z","business","Business","2.7957149593630426"
"2021-11-10T14:00:06Z","games","Games","1.375001521940546"
"2021-11-10T14:00:06Z","stage","Stage","0.9062105990867559"
"2021-11-10T13:59:42Z","business","Business","2.20491956549511"
"2021-11-10T13:52:19Z","environment","Environment","2.6291322625679006"
"2021-11-10T13:46:00Z","music","Music","1.4254087373521331"
"2021-11-10T13:43:18Z","world","World news","1.648497106383551"
"2021-11-10T13:34:18Z","music","Music","0.0"
"2021-11-10T13:30:59Z","business","Business","3.16151714066259"
"2021-11-10T13:30:05Z","environment","Environment","0.5034687855402822"
"2021-11-10T13:23:57Z","politics","Politics","1.8510854123550935"
"2021-11-10T13:15:23Z","artanddesign","Art and design","1.6212755540289119"
"2021-11-10T13:04:13Z","business","Business","1.9870118247408652"
"2021-11-10T13:00:40Z","law","Law","2.915482688690882"
"2021-11-10T13:00:04Z","film","Film","0.0"
"2021-11-10T13:00:04Z","environment","Environment","2.1603140101532965"
"2021-11-10T12:29:15Z","politics","Politics","2.572527899800523"
"2021-11-10T12:28:19Z","artanddesign","Art and design","1.458691771615476"
"2021-11-10T12:28:07Z","music","Music","2.3904420866781333"
"2021-11-10T12:25:58Z","football","Football","0.38566248081198473"
"2021-11-10T12:20:03Z","commentisfree","Opinion","4.542372930120078"
"2021-11-10T12:12:10Z","world","World news","1.8957753755045694"
"2021-11-10T12:11:18Z","uk-news","UK news","0.9318691154443253"
"2021-11-10T12:07:06Z","vive-la-vodka","Vive la vodka!","2.3419294996350226"
"2021-11-10T12:06:51Z","stage","Stage","0.9005354181181039"
"2021-11-10T12:00:04Z","food","Food","0.0"
"2021-11-10T12:00:04Z","stage","Stage","2.52844697628231"
"2021-11-10T12:00:04Z","global-development","Global development","1.945053495661977"
"2021-11-10T12:00:03Z","football","Football","1.8452655035732877"
