"2020-09-23T23:56:15Z","commonwealth-bank-australia-next-chapter","Commonwealth Bank Australia: Next Chapter","4.152591965378842"
"2020-09-23T23:01:02Z","education","Education","2.5881924759049664"
"2020-09-23T23:01:02Z","politics","Politics","3.972112316938738"
"2020-09-23T23:01:02Z","business","Business","2.9140123477841513"
"2020-09-23T23:01:02Z","uk-news","UK news","1.330158086911424"
"2020-09-23T23:01:02Z","education","Education","2.5135317330370404"
"2020-09-23T23:00:02Z","crosswords","Crosswords","0.0"
"2020-09-23T23:00:02Z","crosswords","Crosswords","0.0"
"2020-09-23T22:52:01Z","football","Football","1.2705434724773748"
"2020-09-23T22:42:49Z","world","World news","4.501010967941418"
"2020-09-23T22:35:27Z","australia-news","Australia news","1.1017331115309696"
"2020-09-23T22:23:10Z","uk-news","UK news","1.7185898585296162"
"2020-09-23T22:18:02Z","world","World news","3.757327764747087"
"2020-09-23T22:00:01Z","tv-and-radio","Television & radio","1.1832614970344422"
"2020-09-23T22:00:00Z","society","Society","4.182874087232769"
"2020-09-23T21:59:31Z","politics","Politics","1.040412526007914"
"2020-09-23T21:56:43Z","us-news","US news","2.5575963831562776"
"2020-09-23T21:30:00Z","environment","Environment","3.542732190650271"
"2020-09-23T21:29:12Z","australia-news","Australia news","3.085649324440137"
"2020-09-23T21:06:11Z","us-news","US news","1.9256163297154996"
"2020-09-23T21:00:26Z","football","Football","0.8305142496343821"
"2020-09-23T20:54:16Z","football","Football","1.0536131858739237"
"2020-09-23T20:52:24Z","australia-news","Australia news","3.2335432750795396"
"2020-09-23T20:52:16Z","football","Football","1.1727600974914913"
"2020-09-23T20:48:37Z","football","Football","1.675085286023118"
"2020-09-23T20:48:17Z","football","Football","1.0451708816879617"
"2020-09-23T20:47:36Z","sport","Sport","1.2356597911735008"
"2020-09-23T20:47:10Z","education","Education","4.003151578183445"
"2020-09-23T20:42:08Z","sport","Sport","1.4387525715844656"
"2020-09-23T20:31:22Z","us-news","US news","2.4698403088474423"
"2020-09-23T20:30:48Z","world","World news","0.5993957196404699"
"2020-09-23T20:21:36Z","football","Football","0.0"
"2020-09-23T20:00:48Z","news","News","0.0"
"2020-09-23T19:44:36Z","sport","Sport","1.1914423717059381"
"2020-09-23T19:17:33Z","world","World news","1.2011026941448824"
"2020-09-23T19:00:47Z","politics","Politics","3.285124141290318"
"2020-09-23T19:00:47Z","sport","Sport","1.5596265632882091"
"2020-09-23T19:00:47Z","world","World news","1.7883584910037462"
"2020-09-23T18:56:16Z","fashion","Fashion","2.5804109424279527"
"2020-09-23T18:54:55Z","uk-news","UK news","2.990560598646086"
"2020-09-23T18:48:52Z","world","World news","2.3371833513677065"
"2020-09-23T18:40:44Z","business","Business","2.475025999592226"
"2020-09-23T18:38:43Z","business","Business","3.605097989981977"
"2020-09-23T18:38:07Z","uk-news","UK news","3.296011966687669"
"2020-09-23T18:23:34Z","us-news","US news","2.185459735756633"
"2020-09-23T18:08:07Z","uk-news","UK news","3.809624251793974"
"2020-09-23T18:04:02Z","football","Football","3.4247504435857046"
"2020-09-23T18:00:45Z","books","Books","2.7647402208864578"
"2020-09-23T17:54:40Z","sport","Sport","1.5301387963419995"
"2020-09-23T17:41:11Z","sport","Sport","0.4850275314441462"
"2020-09-23T17:39:24Z","world","World news","1.591399091844422"
"2020-09-23T17:35:19Z","education","Education","1.8165896675480124"
"2020-09-23T17:34:54Z","business","Business","2.4298106849066152"
"2020-09-23T17:30:46Z","culture","Culture","0.9263064967182914"
"2020-09-23T17:30:46Z","business","Business","1.7356999565975921"
"2020-09-23T17:30:46Z","travel","Travel","3.2805559339269763"
"2020-09-23T17:30:46Z","film","Film","1.8521829156044587"
"2020-09-23T17:30:46Z","sport","Sport","1.6878263600116103"
"2020-09-23T17:30:45Z","business","Business","3.3740142015099135"
"2020-09-23T17:30:45Z","technology","Technology","2.2319994079436185"
"2020-09-23T17:30:45Z","australia-news","Australia news","1.1975941222169606"
"2020-09-23T17:24:10Z","commentisfree","Opinion","2.4817551197053462"
"2020-09-23T17:23:11Z","commentisfree","Opinion","3.711057686274117"
"2020-09-23T17:16:56Z","business","Business","1.889789813919447"
"2020-09-23T17:07:30Z","environment","Environment","1.860467259245564"
"2020-09-23T17:05:43Z","politics","Politics","4.325903068752281"
"2020-09-23T17:01:10Z","world","World news","2.0145485572550417"
"2020-09-23T16:59:02Z","business","Business","2.3323696543515733"
"2020-09-23T16:53:49Z","us-news","US news","1.311435230895545"
"2020-09-23T16:53:49Z","environment","Environment","2.194857712325953"
"2020-09-23T16:52:48Z","football","Football","0.0"
"2020-09-23T16:49:04Z","culture","Culture","0.0"
"2020-09-23T16:34:15Z","politics","Politics","1.906402043513042"
"2020-09-23T16:27:02Z","uk-news","UK news","2.3968264398620724"
"2020-09-23T16:22:55Z","politics","Politics","3.066037318968627"
"2020-09-23T16:22:52Z","technology","Technology","2.270378795015147"
"2020-09-23T16:21:30Z","lifeandstyle","Life and style","3.283863621442089"
"2020-09-23T16:21:29Z","world","World news","2.0604262755663485"
