"2020-06-14T23:53:38Z","black-hawk-every-ingredient-matters","Black Hawk: Every ingredient matters","0.0"
"2020-06-14T11:00:43Z","commentisfree","Opinion","3.005723707828511"
"2020-06-14T10:41:37Z","world","World news","1.7643189010960127"
"2020-06-14T10:34:22Z","global-development","Global development","4.271774778186938"
"2020-06-14T10:30:42Z","technology","Technology","2.1879053695012387"
"2020-06-14T10:01:15Z","business","Business","4.0321680985504225"
"2020-06-14T10:00:43Z","books","Books","0.8898318544737024"
"2020-06-14T10:00:43Z","film","Film","1.2666244572368985"
"2020-06-14T10:00:42Z","travel","Travel","1.1695606447604814"
"2020-06-14T10:00:42Z","law","Law","2.7316222097750473"
"2020-06-14T10:00:42Z","business","Business","3.0637723102856707"
"2020-06-14T10:00:42Z","lifeandstyle","Life and style","2.9216152904564776"
"2020-06-14T09:00:41Z","music","Music","1.7538966447668285"
"2020-06-14T09:00:41Z","commentisfree","Opinion","2.8057119844935583"
"2020-06-14T09:00:41Z","football","Football","1.9850532288192975"
"2020-06-14T08:30:40Z","tv-and-radio","Television & radio","1.9560187163938518"
"2020-06-14T08:30:40Z","lifeandstyle","Life and style","1.8150508037073632"
"2020-06-14T08:17:40Z","global","Global","2.141169875760185"
"2020-06-14T08:14:40Z","uk-news","UK news","1.8162816316051753"
"2020-06-14T08:01:39Z","world","World news","4.111589478916889"
"2020-06-14T08:00:40Z","lifeandstyle","Life and style","2.1449946105540394"
"2020-06-14T08:00:40Z","food","Food","1.2175988175349926"
"2020-06-14T08:00:40Z","us-news","US news","3.4681894716891546"
"2020-06-14T08:00:40Z","music","Music","0.6008801416491387"
"2020-06-14T08:00:40Z","culture","Culture","2.1286112845215044"
"2020-06-14T08:00:39Z","commentisfree","Opinion","3.071681134399316"
"2020-06-14T07:55:39Z","environment","Environment","3.15319148298195"
"2020-06-14T07:45:39Z","artanddesign","Art and design","1.8940945206296471"
"2020-06-14T07:37:39Z","politics","Politics","3.765882968014411"
"2020-06-14T07:35:39Z","politics","Politics","2.1351606273297987"
"2020-06-14T07:30:39Z","commentisfree","Opinion","3.708302122510189"
"2020-06-14T07:27:39Z","world","World news","3.9201901532664585"
"2020-06-14T07:18:39Z","business","Business","2.350923000035695"
"2020-06-14T07:15:39Z","world","World news","2.268434537333014"
"2020-06-14T07:15:39Z","lifeandstyle","Life and style","1.0499769112801958"
"2020-06-14T07:15:39Z","commentisfree","Opinion","2.8604494767832254"
"2020-06-14T07:11:38Z","science","Science","0.8565464812248648"
"2020-06-14T07:09:38Z","politics","Politics","2.9193092121330566"
"2020-06-14T07:05:38Z","global","Global","2.2289552847002474"
"2020-06-14T07:04:38Z","world","World news","3.4882323655497216"
"2020-06-14T07:01:55Z","football","Football","2.3243499983331852"
"2020-06-14T07:01:37Z","football","Football","2.463577644612125"
"2020-06-14T07:00:40Z","lifeandstyle","Life and style","2.2385678512367857"
"2020-06-14T07:00:40Z","film","Film","0.7513315703328238"
"2020-06-14T07:00:40Z","stage","Stage","2.465685016007047"
"2020-06-14T07:00:39Z","commentisfree","Opinion","1.8828854137795739"
"2020-06-14T07:00:39Z","money","Money","3.389002108568337"
"2020-06-14T07:00:39Z","culture","Culture","0.0"
"2020-06-14T07:00:39Z","stage","Stage","2.7379424082383004"
"2020-06-14T07:00:39Z","fashion","Fashion","0.2978659871694882"
"2020-06-14T07:00:38Z","football","Football","3.2625141094409202"
"2020-06-14T07:00:38Z","uk-news","UK news","3.5200727167171477"
"2020-06-14T06:54:38Z","society","Society","3.9124150854174857"
"2020-06-14T06:46:38Z","education","Education","3.084079341836334"
"2020-06-14T06:44:38Z","lifeandstyle","Life and style","2.3323696543515733"
"2020-06-14T06:34:38Z","uk-news","UK news","1.8503318367919481"
"2020-06-14T06:30:38Z","commentisfree","Opinion","1.4123494748672234"
"2020-06-14T06:25:37Z","world","World news","3.6121937013721017"
"2020-06-14T06:20:37Z","world","World news","2.7415029082761593"
"2020-06-14T06:09:37Z","books","Books","2.852140276699877"
"2020-06-14T06:09:37Z","business","Business","3.186975079614346"
"2020-06-14T06:07:37Z","politics","Politics","3.946352326294057"
"2020-06-14T06:00:39Z","culture","Culture","0.0"
"2020-06-14T06:00:38Z","artanddesign","Art and design","1.1757208401071781"
"2020-06-14T06:00:38Z","us-news","US news","0.6165441316029541"
"2020-06-14T06:00:38Z","travel","Travel","3.1197222778928344"
"2020-06-14T06:00:38Z","books","Books","1.0989457331526928"
"2020-06-14T06:00:38Z","stage","Stage","1.0921777471636929"
"2020-06-14T06:00:38Z","business","Business","2.503347611604877"
"2020-06-14T06:00:37Z","politics","Politics","4.062903036387282"
"2020-06-14T06:00:37Z","world","World news","1.8846054555784555"
"2020-06-14T05:58:37Z","world","World news","4.130056476078132"
"2020-06-14T05:45:37Z","lifeandstyle","Life and style","1.8037644153248784"
"2020-06-14T05:45:37Z","uk-news","UK news","3.4094635180824007"
"2020-06-14T05:40:21Z","world","World news","4.393632127787658"
"2020-06-14T05:35:36Z","business","Business","3.360242096400124"
"2020-06-14T05:30:36Z","lifeandstyle","Life and style","1.7124465406260316"
"2020-06-14T05:30:36Z","theobserver","From the Observer","1.4070867172280828"
"2020-06-14T05:15:36Z","commentisfree","Opinion","2.2524109929035103"
"2020-06-14T05:15:36Z","lifeandstyle","Life and style","1.182999680945657"
"2020-06-14T05:00:37Z","tv-and-radio","Television & radio","2.2435743367350662"
"2020-06-14T05:00:37Z","food","Food","2.2137809883219046"
"2020-06-14T05:00:36Z","commentisfree","Opinion","1.5703825827750528"
"2020-06-14T05:00:36Z","commentisfree","Opinion","3.259142278814918"
"2020-06-14T05:00:36Z","us-news","US news","1.9767798834192765"
"2020-06-14T05:00:36Z","news","News","2.6328696562658362"
"2020-06-14T05:00:36Z","lifeandstyle","Life and style","0.0"
"2020-06-14T05:00:36Z","lifeandstyle","Life and style","1.3949818567405126"
"2020-06-14T04:59:36Z","commentisfree","Opinion","3.4153037279529737"
"2020-06-14T03:39:53Z","australia-news","Australia news","3.7018193238154704"
"2020-06-14T02:01:16Z","world","World news","2.339116734963032"
"2020-06-14T01:58:05Z","australia-news","Australia news","3.3541475286534577"
"2020-06-14T00:24:49Z","us-news","US news","2.207520516989438"
"2020-06-14T00:00:04Z","australia-news","Australia news","1.747902914227772"
