"2021-10-18T23:01:09Z","money","Money","2.6861599260997195"
"2021-10-18T23:01:09Z","business","Business","2.443621456942353"
"2021-10-18T23:01:09Z","stage","Stage","1.1860183827691142"
"2021-10-18T23:00:09Z","crosswords","Crosswords","0.0"
"2021-10-18T23:00:08Z","crosswords","Crosswords","0.0"
"2021-10-18T22:39:48Z","world","World news","4.893952483133227"
"2021-10-18T21:55:43Z","australia-news","Australia news","4.600436462772089"
"2021-10-18T21:53:09Z","us-news","US news","3.835861644462582"
"2021-10-18T21:13:04Z","football","Football","1.055349134675818"
"2021-10-18T21:11:20Z","football","Football","1.1486752447370765"
"2021-10-18T21:08:19Z","sport","Sport","0.48335413814434525"
"2021-10-18T21:05:06Z","tv-and-radio","Television & radio","0.0"
"2021-10-18T21:05:06Z","tv-and-radio","Television & radio","1.3017819441978995"
"2021-10-18T21:00:06Z","environment","Environment","2.302327990537301"
"2021-10-18T21:00:06Z","football","Football","1.8451853693548397"
"2021-10-18T20:33:33Z","politics","Politics","2.126152204180119"
"2021-10-18T20:32:52Z","us-news","US news","1.5454404503097532"
"2021-10-18T20:31:21Z","sport","Sport","2.3594062117597425"
"2021-10-18T20:31:11Z","football","Football","0.872041390770809"
"2021-10-18T20:01:22Z","australia-news","Australia news","3.234365001910661"
"2021-10-18T20:00:05Z","news","News","0.0"
"2021-10-18T20:00:05Z","fashion","Fashion","2.552324898213124"
"2021-10-18T19:56:27Z","uk-news","UK news","1.9091167011735126"
"2021-10-18T19:36:40Z","us-news","US news","2.001354212068635"
"2021-10-18T19:23:01Z","world","World news","4.380734909158403"
"2021-10-18T19:06:16Z","football","Football","2.193171373560511"
"2021-10-18T19:00:04Z","sport","Sport","0.41241723445566886"
"2021-10-18T18:59:34Z","uk-news","UK news","3.4512027524841282"
"2021-10-18T18:54:05Z","technology","Technology","2.470666142511476"
"2021-10-18T18:51:41Z","uk-news","UK news","1.1531073174315414"
"2021-10-18T18:40:14Z","football","Football","1.740666454053959"
"2021-10-18T18:39:28Z","uk-news","UK news","3.6223687719041937"
"2021-10-18T18:37:03Z","technology","Technology","1.279743433547234"
"2021-10-18T18:26:43Z","business","Business","0.9917222241384389"
"2021-10-18T18:18:54Z","commentisfree","Opinion","0.0"
"2021-10-18T18:17:52Z","commentisfree","Opinion","1.4561640410803764"
"2021-10-18T18:16:50Z","media","Media","1.5527394650904174"
"2021-10-18T18:16:44Z","uk-news","UK news","1.740666454053959"
"2021-10-18T18:10:51Z","world","World news","2.2817668747830684"
"2021-10-18T18:06:06Z","world","World news","4.141343518405124"
"2021-10-18T18:04:42Z","politics","Politics","3.1736456687729033"
"2021-10-18T17:54:16Z","us-news","US news","1.8937021445612794"
"2021-10-18T17:42:26Z","us-news","US news","2.0262534227972036"
"2021-10-18T17:25:25Z","sport","Sport","2.517665828001631"
"2021-10-18T17:20:02Z","commentisfree","Opinion","3.5897508387559807"
"2021-10-18T17:17:43Z","us-news","US news","2.048799766102645"
"2021-10-18T17:04:30Z","world","World news","3.9072957506808508"
"2021-10-18T17:03:43Z","uk-news","UK news","0.5835516135749074"
"2021-10-18T17:03:13Z","culture","Culture","1.6820129816269744"
"2021-10-18T17:02:59Z","world","World news","0.0"
"2021-10-18T16:59:13Z","lifeandstyle","Life and style","0.9443306759437738"
"2021-10-18T16:58:39Z","sport","Sport","1.3051309540126839"
"2021-10-18T16:55:23Z","uk-news","UK news","1.4673635521518809"
"2021-10-18T16:54:22Z","society","Society","2.864141084822471"
"2021-10-18T16:46:40Z","business","Business","0.535742926328357"
"2021-10-18T16:34:15Z","sport","Sport","1.7458775498359698"
"2021-10-18T16:30:03Z","lifeandstyle","Life and style","1.8663227111369658"
"2021-10-18T16:30:02Z","books","Books","1.37995302808874"
"2021-10-18T16:30:02Z","australia-news","Australia news","3.852218502957874"
"2021-10-18T16:30:02Z","business","Business","1.7443062912718594"
"2021-10-18T16:30:01Z","australia-news","Australia news","2.3984302038050282"
"2021-10-18T16:30:01Z","australia-news","Australia news","1.764891832775179"
"2021-10-18T16:30:01Z","australia-news","Australia news","2.0196845988766237"
"2021-10-18T16:26:34Z","business","Business","0.5129680991436376"
"2021-10-18T16:24:59Z","business","Business","2.839607320646204"
"2021-10-18T16:08:14Z","world","World news","1.5821217619833163"
"2021-10-18T16:00:01Z","film","Film","0.0"
"2021-10-18T16:00:00Z","science","Science","1.1731453405306764"
"2021-10-18T16:00:00Z","football","Football","0.0"
"2021-10-18T15:58:37Z","environment","Environment","1.0580950195708425"
"2021-10-18T15:50:50Z","business","Business","3.3010524618355315"
"2021-10-18T15:50:41Z","world","World news","1.4516398652575713"
"2021-10-18T15:48:05Z","us-news","US news","2.2874265325632046"
"2021-10-18T15:39:35Z","uk-news","UK news","2.377371207064974"
"2021-10-18T15:30:34Z","society","Society","4.56116405350837"
"2021-10-18T15:30:06Z","commentisfree","Opinion","3.00240682722666"
"2021-10-18T15:27:58Z","world","World news","1.2143978479428472"
"2021-10-18T15:26:14Z","commentisfree","Opinion","0.7695286795181606"
"2021-10-18T15:16:20Z","uk-news","UK news","2.306386766440948"
"2021-10-18T15:05:53Z","world","World news","1.1898491430847988"
"2021-10-18T15:04:27Z","sport","Sport","0.773279642754926"
"2021-10-18T15:02:40Z","football","Football","1.5360729500648116"
"2021-10-18T15:01:55Z","artanddesign","Art and design","1.817926014095787"
"2021-10-18T14:56:16Z","transformational-tech-tools","Transformational tech tools","2.848648206732448"
"2021-10-18T14:52:01Z","film","Film","1.3620433257537297"
"2021-10-18T14:46:40Z","football","Football","1.6501140337627842"
"2021-10-18T14:29:44Z","football","Football","0.0"
"2021-10-18T14:29:22Z","uk-news","UK news","2.0084305060366474"
"2021-10-18T14:25:27Z","culture","Culture","1.4792906177938183"
"2021-10-18T14:25:24Z","technology","Technology","2.3799091764285887"
"2021-10-18T14:22:40Z","uk-news","UK news","1.9750978204500318"
"2021-10-18T14:18:27Z","society","Society","2.616103624576347"
"2021-10-18T14:17:57Z","politics","Politics","3.967065360856628"
"2021-10-18T14:15:32Z","world","World news","0.5248061146314854"
"2021-10-18T14:10:04Z","games","Games","1.715217665632586"
"2021-10-18T14:07:58Z","football","Football","1.2051797110929034"
"2021-10-18T14:00:04Z","environment","Environment","3.7971279523952814"
"2021-10-18T13:55:48Z","world","World news","0.0"
"2021-10-18T13:53:15Z","artanddesign","Art and design","1.511509466972399"
"2021-10-18T13:51:29Z","lifeandstyle","Life and style","0.8197099038683746"
"2021-10-18T13:31:46Z","stage","Stage","0.44766390708014486"
"2021-10-18T13:29:25Z","stage","Stage","1.294134553483726"
"2021-10-18T13:13:05Z","football","Football","2.221285888496337"
"2021-10-18T13:12:59Z","move-to-biosimilars","The move to biosimilars","4.23657695628498"
"2021-10-18T13:12:03Z","move-to-biosimilars","The move to biosimilars","4.2576504405448246"
"2021-10-18T13:10:59Z","move-to-biosimilars","The move to biosimilars","3.8002620059318875"
"2021-10-18T13:10:05Z","world","World news","0.7972874398125424"
"2021-10-18T13:10:00Z","move-to-biosimilars","The move to biosimilars","4.0185010691868746"
"2021-10-18T13:00:03Z","film","Film","1.6650077635889111"
"2021-10-18T12:59:02Z","uk-news","UK news","0.0"
"2021-10-18T12:51:53Z","australia-news","Australia news","4.585515554672376"
"2021-10-18T12:50:32Z","world","World news","1.3462346322676157"
"2021-10-18T12:41:30Z","uk-news","UK news","2.5936003663693614"
"2021-10-18T12:36:53Z","environment","Environment","2.108039221409655"
"2021-10-18T12:27:14Z","uk-news","UK news","1.142218454991678"
"2021-10-18T12:06:43Z","football","Football","1.7967007541309312"
"2021-10-18T12:00:45Z","stage","Stage","0.0"
"2021-10-18T12:00:02Z","food","Food","0.0"
"2021-10-18T11:56:07Z","sport","Sport","1.3130221600135648"
"2021-10-18T11:39:55Z","football","Football","1.3332353217179411"
"2021-10-18T11:38:58Z","world","World news","0.861251575161069"
"2021-10-18T11:21:05Z","uk-news","UK news","0.5752669395571912"
"2021-10-18T11:05:25Z","sport","Sport","0.8688145829012264"
"2021-10-18T11:03:08Z","music","Music","2.654562968762329"
"2021-10-18T11:00:01Z","commentisfree","Opinion","2.352626905107871"
"2021-10-18T11:00:01Z","film","Film","0.8953636492985938"
"2021-10-18T10:56:22Z","environment","Environment","0.5444087455876302"
"2021-10-18T10:55:08Z","society","Society","4.299252475804619"
"2021-10-18T10:46:51Z","crosswords","Crosswords","2.4380810013379897"
"2021-10-18T10:37:20Z","society","Society","2.7655853475721193"
"2021-10-18T10:23:00Z","commentisfree","Opinion","2.4589445623731163"
"2021-10-18T10:00:13Z","commentisfree","Opinion","2.1877988816318634"
"2021-10-18T10:00:13Z","food","Food","1.1951784870591609"
"2021-10-18T10:00:13Z","us-news","US news","0.7237418010745149"
"2021-10-18T10:00:12Z","us-news","US news","1.3453589747790082"
"2021-10-18T10:00:12Z","environment","Environment","2.1209122249449215"
"2021-10-18T09:47:52Z","world","World news","4.091399051992344"
"2021-10-18T09:42:02Z","us-news","US news","2.5554027455779567"
"2021-10-18T09:32:10Z","australia-news","Australia news","3.032393726276808"
"2021-10-18T09:26:20Z","football","Football","0.893227382943232"
"2021-10-18T09:24:34Z","gnm-press-office","GNM press office","0.5175824062288704"
"2021-10-18T09:20:44Z","stage","Stage","0.0"
"2021-10-18T09:11:16Z","tv-and-radio","Television & radio","0.7531106453275026"
"2021-10-18T09:00:12Z","culture","Culture","0.5006374478657992"
"2021-10-18T09:00:11Z","lifeandstyle","Life and style","1.9775073864315884"
"2021-10-18T09:00:11Z","environment","Environment","3.3674694222620536"
"2021-10-18T09:00:11Z","us-news","US news","2.5855012251462965"
"2021-10-18T08:50:14Z","uk-news","UK news","2.5570735784014853"
"2021-10-18T08:46:59Z","money","Money","1.8420936017019554"
"2021-10-18T08:44:32Z","artanddesign","Art and design","1.4107853811281865"
"2021-10-18T08:37:06Z","australia-news","Australia news","2.1517327464431526"
"2021-10-18T08:36:33Z","science","Science","1.1553376036792167"
"2021-10-18T08:31:22Z","music","Music","2.50985869940149"
"2021-10-18T08:26:12Z","australia-news","Australia news","3.0635013913312603"
"2021-10-18T08:00:10Z","books","Books","2.504378753200821"
"2021-10-18T08:00:10Z","sport","Sport","0.7041595747815715"
"2021-10-18T07:34:41Z","books","Books","1.2804465555961724"
"2021-10-18T07:26:29Z","uk-news","UK news","2.7740165071724032"
"2021-10-18T07:22:10Z","australia-news","Australia news","4.39653064577105"
"2021-10-18T07:16:57Z","australia-news","Australia news","2.420691875483236"
"2021-10-18T07:07:05Z","australia-news","Australia news","3.1507689007513897"
"2021-10-18T07:00:10Z","commentisfree","Opinion","2.421872813976386"
"2021-10-18T07:00:10Z","artanddesign","Art and design","2.253083252797603"
"2021-10-18T07:00:10Z","artanddesign","Art and design","2.352409918404254"
"2021-10-18T07:00:09Z","books","Books","3.3065087018084127"
"2021-10-18T07:00:09Z","football","Football","0.8102363981075968"
"2021-10-18T07:00:09Z","football","Football","1.879371849448831"
"2021-10-18T07:00:08Z","sport","Sport","2.649294669163191"
"2021-10-18T06:44:17Z","sap-smart-business","SAP: Smart business","2.6951509344456275"
"2021-10-18T06:38:08Z","science","Science","1.1407676734592573"
"2021-10-18T06:33:35Z","business","Business","3.138255403302753"
"2021-10-18T06:28:18Z","australia-news","Australia news","3.081576085947746"
"2021-10-18T06:18:09Z","stage","Stage","0.9053325295188447"
"2021-10-18T06:01:07Z","global-development","Global development","2.25574977074629"
"2021-10-18T06:00:10Z","travel","Travel","2.2486120292493794"
"2021-10-18T06:00:10Z","books","Books","1.5854752614015917"
"2021-10-18T06:00:09Z","money","Money","1.341521540338446"
"2021-10-18T06:00:09Z","music","Music","1.464800498116177"
"2021-10-18T06:00:09Z","lifeandstyle","Life and style","0.0"
"2021-10-18T06:00:09Z","money","Money","2.479595234919721"
"2021-10-18T06:00:09Z","money","Money","0.6540741942599814"
"2021-10-18T06:00:08Z","uk-news","UK news","3.0462556906055567"
"2021-10-18T06:00:08Z","business","Business","1.936822619647455"
"2021-10-18T06:00:08Z","australia-news","Australia news","2.2818332310440184"
"2021-10-18T06:00:08Z","music","Music","0.0"
