"2020-11-16T23:59:08Z","powershop-power-potential","Powershop: Power potential","1.5821217619833163"
"2020-11-16T14:43:08Z","society","Society","2.7660082149341285"
"2020-11-16T14:40:55Z","society","Society","2.6865944668838635"
"2020-11-16T14:38:59Z","books","Books","1.5258998008081004"
"2020-11-16T14:31:30Z","uk-news","UK news","2.3294672972142765"
"2020-11-16T14:19:49Z","sport","Sport","1.574633724338501"
"2020-11-16T14:16:00Z","film","Film","2.4209377669455248"
"2020-11-16T14:06:57Z","fashion","Fashion","2.024232991870697"
"2020-11-16T14:00:07Z","science","Science","3.619388091603014"
"2020-11-16T14:00:07Z","sport","Sport","2.095352977254213"
"2020-11-16T14:00:07Z","commentisfree","Opinion","1.5673730501192582"
"2020-11-16T14:00:07Z","tv-and-radio","Television & radio","0.0"
"2020-11-16T13:52:33Z","lifeandstyle","Life and style","3.446385521291301"
"2020-11-16T13:48:00Z","world","World news","0.0"
"2020-11-16T13:39:20Z","business","Business","1.934005246548995"
"2020-11-16T13:34:46Z","music","Music","1.4676204365260408"
"2020-11-16T13:28:38Z","football","Football","0.69945634975321"
"2020-11-16T13:17:54Z","uk-news","UK news","2.118310410579209"
"2020-11-16T13:07:24Z","commentisfree","Opinion","3.4198331635143555"
"2020-11-16T13:07:23Z","society","Society","4.706726399501929"
"2020-11-16T13:00:06Z","games","Games","0.8222042927895469"
"2020-11-16T13:00:06Z","food","Food","0.5587599898515266"
"2020-11-16T12:59:47Z","music","Music","1.7167143996647707"
"2020-11-16T12:54:53Z","world","World news","4.477959725418875"
"2020-11-16T12:32:13Z","world","World news","1.8678640564814546"
"2020-11-16T12:20:18Z","global-development","Global development","1.8663227111369658"
"2020-11-16T12:17:36Z","commentisfree","Opinion","3.2914700468379885"
"2020-11-16T12:12:59Z","stage","Stage","1.219836757237905"
"2020-11-16T12:01:04Z","money","Money","2.5642112138590973"
"2020-11-16T12:00:24Z","world","World news","4.805621005188874"
"2020-11-16T12:00:05Z","sport","Sport","1.1334554131907895"
"2020-11-16T12:00:04Z","commentisfree","Opinion","4.184781232324873"
"2020-11-16T12:00:04Z","tv-and-radio","Television & radio","1.2069560477422676"
"2020-11-16T11:50:56Z","business","Business","1.9112956028672472"
"2020-11-16T11:42:19Z","technology","Technology","2.1014909690435593"
"2020-11-16T11:34:21Z","society","Society","4.1952103910117335"
"2020-11-16T11:31:59Z","environment","Environment","2.2516497724782254"
"2020-11-16T11:30:04Z","food","Food","0.9808292530117262"
"2020-11-16T11:29:15Z","gnm-press-office","GNM press office","0.5422908045714658"
"2020-11-16T11:28:03Z","commentisfree","Opinion","0.45618020068718074"
"2020-11-16T11:21:03Z","commentisfree","Opinion","2.3044401352644464"
"2020-11-16T11:11:13Z","film","Film","3.3799326931673987"
"2020-11-16T11:06:05Z","sport","Sport","0.45852143924962147"
"2020-11-16T11:03:33Z","sport","Sport","1.9908615369175797"
"2020-11-16T11:00:04Z","books","Books","1.8813598555251798"
"2020-11-16T11:00:03Z","lifeandstyle","Life and style","1.5994559783727524"
"2020-11-16T11:00:03Z","food","Food","0.0"
"2020-11-16T11:00:03Z","environment","Environment","1.4685387429544734"
"2020-11-16T10:52:08Z","crosswords","Crosswords","1.1939747437540795"
"2020-11-16T10:49:07Z","business","Business","1.1017331115309696"
"2020-11-16T10:49:06Z","us-news","US news","3.3818029397808234"
"2020-11-16T10:38:54Z","books","Books","0.48145604295303907"
"2020-11-16T10:37:14Z","world","World news","4.1715350023555064"
"2020-11-16T10:37:01Z","guardian-masterclasses","Guardian Masterclasses","1.5822680070821726"
"2020-11-16T10:28:38Z","business","Business","2.4548734081550165"
"2020-11-16T10:24:57Z","uk-news","UK news","3.2966626298827966"
"2020-11-16T10:04:00Z","music","Music","1.7485488182885227"
"2020-11-16T10:00:02Z","sport","Sport","1.5593119298602978"
"2020-11-16T10:00:02Z","world","World news","4.8431192225206505"
"2020-11-16T09:47:03Z","money","Money","3.181641958013141"
"2020-11-16T09:42:16Z","australia-news","Australia news","2.705224661167775"
