"2021-02-11T16:30:18Z","australia-news","Australia news","3.2681177251492963"
"2021-02-11T16:09:12Z","commentisfree","Opinion","0.7259370033829361"
"2021-02-11T16:04:21Z","world","World news","2.1186405983269605"
"2021-02-11T16:01:37Z","us-news","US news","0.0"
"2021-02-11T16:00:18Z","education","Education","1.7694279574353258"
"2021-02-11T16:00:18Z","music","Music","0.3797326941416863"
"2021-02-11T16:00:17Z","science","Science","2.4769690140238048"
"2021-02-11T15:56:17Z","football","Football","2.222723966896531"
"2021-02-11T15:54:22Z","education","Education","2.5399978767651583"
"2021-02-11T15:37:12Z","us-news","US news","0.9150924093820464"
"2021-02-11T15:34:57Z","politics","Politics","2.6526047738886405"
"2021-02-11T15:28:10Z","world","World news","1.2032732590018504"
"2021-02-11T15:25:16Z","politics","Politics","2.0713699618920858"
"2021-02-11T15:24:19Z","commentisfree","Opinion","3.092074977972505"
"2021-02-11T15:21:36Z","business","Business","0.5413882741761574"
"2021-02-11T15:20:41Z","sport","Sport","0.8499734472676416"
"2021-02-11T15:19:26Z","uk-news","UK news","2.2613451505917777"
"2021-02-11T15:13:15Z","world","World news","2.1581952334304844"
"2021-02-11T15:08:50Z","business","Business","4.343084217411056"
"2021-02-11T15:06:56Z","commentisfree","Opinion","2.680880555292582"
"2021-02-11T15:04:34Z","artanddesign","Art and design","1.7732518465720695"
"2021-02-11T15:00:16Z","us-news","US news","1.7850205499406073"
"2021-02-11T15:00:16Z","film","Film","1.3505317142449815"
"2021-02-11T14:44:32Z","us-news","US news","1.8534195855856146"
"2021-02-11T14:42:45Z","world","World news","1.55814461804655"
"2021-02-11T14:19:15Z","uk-news","UK news","3.881742969811545"
"2021-02-11T14:18:53Z","books","Books","1.3881722959440908"
"2021-02-11T14:10:06Z","world","World news","3.3043012454399836"
"2021-02-11T14:06:14Z","politics","Politics","3.0054373485734396"
"2021-02-11T14:06:14Z","politics","Politics","4.709119817421763"
"2021-02-11T14:00:15Z","commentisfree","Opinion","3.038720886681444"
"2021-02-11T14:00:15Z","film","Film","4.358314314883826"
"2021-02-11T13:51:49Z","world","World news","4.9709617206234515"
"2021-02-11T13:51:09Z","guardian-us-press-office","Guardian US press office","2.163005943404533"
"2021-02-11T13:42:06Z","commentisfree","Opinion","1.1053237232560966"
"2021-02-11T13:41:27Z","world","World news","1.1619604969791537"
"2021-02-11T13:32:16Z","music","Music","0.7342943254651169"
"2021-02-11T13:26:44Z","sport","Sport","0.8190001522959793"
"2021-02-11T13:23:04Z","music","Music","0.9815242283680743"
"2021-02-11T13:12:53Z","global-development","Global development","3.042083709530236"
"2021-02-11T13:11:32Z","sport","Sport","1.5240247353639027"
"2021-02-11T13:05:43Z","business","Business","3.453544542306242"
"2021-02-11T13:03:54Z","sport","Sport","1.2096544897086101"
"2021-02-11T13:00:21Z","commentisfree","Opinion","2.1327928053262477"
"2021-02-11T13:00:14Z","tv-and-radio","Television & radio","1.1891866994279023"
"2021-02-11T13:00:14Z","world","World news","1.6592407349179186"
"2021-02-11T12:55:37Z","sport","Sport","1.826516946378837"
"2021-02-11T12:41:45Z","society","Society","4.460970867722412"
"2021-02-11T12:27:12Z","culture","Culture","1.7552145986499816"
"2021-02-11T12:25:18Z","books","Books","0.8508692927548008"
"2021-02-11T12:24:50Z","commentisfree","Opinion","1.725088714652648"
"2021-02-11T12:20:07Z","football","Football","2.094014552950642"
"2021-02-11T12:16:50Z","society","Society","4.939897907979871"
"2021-02-11T12:14:33Z","sport","Sport","2.209023502733494"
"2021-02-11T12:09:08Z","sport","Sport","0.0"
"2021-02-11T12:02:35Z","film","Film","1.46207811857386"
"2021-02-11T12:00:13Z","football","Football","1.3927034311260027"
"2021-02-11T12:00:13Z","football","Football","1.425008873300581"
"2021-02-11T11:47:59Z","world","World news","2.810907586541918"
"2021-02-11T11:30:12Z","lifeandstyle","Life and style","1.7842236385393524"
"2021-02-11T11:29:43Z","business","Business","2.1893621289705973"
"2021-02-11T11:27:52Z","australia-news","Australia news","1.4218193322822756"
"2021-02-11T11:23:29Z","us-news","US news","3.304845935946695"
"2021-02-11T11:23:12Z","games","Games","1.5583420163377217"
"2021-02-11T11:22:49Z","sport","Sport","1.168923080987291"
"2021-02-11T11:13:01Z","money","Money","1.806493476039112"
"2021-02-11T11:11:12Z","world","World news","4.13728313807907"
"2021-02-11T11:01:28Z","sport","Sport","0.0"
"2021-02-11T11:00:13Z","film","Film","0.9214212697616084"
"2021-02-11T11:00:13Z","commentisfree","Opinion","3.5571185899175646"
"2021-02-11T11:00:13Z","travel","Travel","3.0790748937611956"
"2021-02-11T11:00:12Z","books","Books","0.888565608903622"
"2021-02-11T11:00:12Z","us-news","US news","1.7154668976254939"
"2021-02-11T11:00:12Z","us-news","US news","3.050687685365354"
"2021-02-11T10:56:16Z","society","Society","2.836821679937823"
"2021-02-11T10:41:39Z","world","World news","2.2093154047294195"
"2021-02-11T10:26:00Z","world","World news","3.9660240905902873"
"2021-02-11T10:16:04Z","tv-and-radio","Television & radio","3.0128468842722773"
"2021-02-11T10:08:06Z","world","World news","1.8893130599564576"
"2021-02-11T10:00:58Z","world","World news","2.1291131514770734"
"2021-02-11T10:00:45Z","lifeandstyle","Life and style","3.2629779301217696"
"2021-02-11T10:00:45Z","football","Football","2.0436238012896593"
"2021-02-11T10:00:45Z","commentisfree","Opinion","1.0969483947734144"
"2021-02-11T10:00:44Z","us-news","US news","2.6005878729088954"
"2021-02-11T10:00:44Z","us-news","US news","1.8617180578349652"
