"2021-07-19T14:08:18Z","sport","Sport","1.3315921061017877"
"2021-07-19T14:04:30Z","sport","Sport","1.2004261858811727"
"2021-07-19T14:00:00Z","sport","Sport","1.4328247355309975"
"2021-07-19T14:00:00Z","news","News","3.3230043286335493"
"2021-07-19T13:46:39Z","tv-and-radio","Television & radio","1.2849200801298994"
"2021-07-19T13:41:01Z","guardian-clearing","The Guardian clearing hub","3.059612922317756"
"2021-07-19T13:40:00Z","books","Books","1.4304695061680068"
"2021-07-19T13:39:21Z","guardian-clearing","The Guardian clearing hub","1.3803241941333868"
"2021-07-19T13:38:23Z","guardian-clearing","The Guardian clearing hub","1.9843243934367705"
"2021-07-19T13:36:59Z","guardian-clearing","The Guardian clearing hub","0.0"
"2021-07-19T13:33:38Z","business","Business","2.3426325941233213"
"2021-07-19T13:23:38Z","world","World news","3.940664520513361"
"2021-07-19T13:13:50Z","business","Business","3.72119052925942"
"2021-07-19T13:13:00Z","world","World news","1.1269505652115472"
"2021-07-19T13:02:32Z","uk-news","UK news","1.3210229707666667"
"2021-07-19T13:00:01Z","film","Film","0.9186974719047201"
"2021-07-19T12:59:46Z","uk-news","UK news","2.821544425653679"
"2021-07-19T12:59:26Z","technology","Technology","1.10464852429996"
"2021-07-19T12:58:42Z","world","World news","2.842403529359212"
"2021-07-19T12:56:48Z","sport","Sport","1.1167123303117277"
"2021-07-19T12:39:40Z","politics","Politics","3.8152130069408945"
"2021-07-19T12:34:43Z","tv-and-radio","Television & radio","1.5647569410148017"
"2021-07-19T12:33:42Z","sport","Sport","0.3798786889211724"
"2021-07-19T12:30:06Z","sport","Sport","2.2632724876073165"
"2021-07-19T12:23:15Z","crosswords","Crosswords","1.9401041218163313"
"2021-07-19T12:13:29Z","business","Business","2.5359092042403732"
"2021-07-19T12:12:15Z","music","Music","0.0"
"2021-07-19T12:10:00Z","commentisfree","Opinion","3.6758946404894317"
"2021-07-19T12:07:56Z","music","Music","0.9857165070318743"
"2021-07-19T12:00:57Z","food","Food","0.0"
"2021-07-19T12:00:57Z","film","Film","2.7220771159984793"
"2021-07-19T11:57:54Z","business","Business","1.3547079835282259"
"2021-07-19T11:43:54Z","music","Music","0.3267095675578956"
"2021-07-19T11:28:57Z","commentisfree","Opinion","2.229880540310272"
"2021-07-19T11:27:23Z","food","Food","0.7105924664945938"
"2021-07-19T11:24:30Z","football","Football","1.6411085910616734"
"2021-07-19T11:08:37Z","sport","Sport","1.6528107405201393"
"2021-07-19T11:05:18Z","commentisfree","Opinion","4.446482802512172"
"2021-07-19T11:00:57Z","football","Football","1.6959576085610832"
"2021-07-19T11:00:57Z","sport","Sport","1.4868143293524934"
"2021-07-19T11:00:56Z","news","News","2.6587470848825463"
"2021-07-19T11:00:56Z","film","Film","0.0"
"2021-07-19T11:00:56Z","news","News","3.1254510899069743"
"2021-07-19T10:48:08Z","uk-news","UK news","2.306968237822441"
"2021-07-19T10:33:44Z","politics","Politics","4.020513751932681"
"2021-07-19T10:25:14Z","world","World news","3.716899095620077"
"2021-07-19T10:22:39Z","football","Football","0.0"
"2021-07-19T10:13:43Z","australia-news","Australia news","4.026954340792376"
"2021-07-19T10:07:38Z","global-development","Global development","4.684149887724094"
"2021-07-19T10:03:36Z","australia-news","Australia news","4.777802252296774"
"2021-07-19T10:03:22Z","uk-news","UK news","3.74983440992977"
"2021-07-19T10:00:56Z","food","Food","0.0"
"2021-07-19T10:00:56Z","lifeandstyle","Life and style","0.7899877498190625"
"2021-07-19T10:00:55Z","books","Books","0.8831225869053486"
"2021-07-19T10:00:55Z","books","Books","1.6312763921268254"
"2021-07-19T10:00:55Z","us-news","US news","3.1855261447627914"
"2021-07-19T10:00:55Z","environment","Environment","2.5845563031572487"
"2021-07-19T09:55:51Z","sport","Sport","1.314016215643245"
"2021-07-19T09:44:19Z","sport","Sport","3.596982327874361"
"2021-07-19T09:42:14Z","us-news","US news","1.998611396155302"
"2021-07-19T09:26:02Z","business","Business","1.9984417434881927"
"2021-07-19T09:08:50Z","australia-news","Australia news","4.154581758673165"
"2021-07-19T09:00:54Z","lifeandstyle","Life and style","0.0"
"2021-07-19T09:00:54Z","sport","Sport","1.689011316274197"
"2021-07-19T09:00:54Z","books","Books","1.6083720983177525"
"2021-07-19T08:56:32Z","business","Business","2.4296607810846265"
"2021-07-19T08:54:42Z","us-news","US news","3.659908890645057"
"2021-07-19T08:50:11Z","australia-news","Australia news","4.317096582070324"
"2021-07-19T08:30:53Z","games","Games","2.0570185250961472"
"2021-07-19T08:03:54Z","culture","Culture","1.8246451509468247"
"2021-07-19T08:00:53Z","film","Film","0.5206136301321536"
"2021-07-19T08:00:53Z","books","Books","1.1712219345561738"
"2021-07-19T08:00:52Z","commentisfree","Opinion","3.5817593040059497"
"2021-07-19T07:56:25Z","australia-news","Australia news","3.0884212198784415"
"2021-07-19T07:32:52Z","stage","Stage","2.55467278060138"
"2021-07-19T07:25:58Z","news","News","3.4267570958686466"
"2021-07-19T07:23:42Z","university-of-melbourne-developing-leadership","University of Melbourne: Developing leadership","1.8043699768199846"
"2021-07-19T07:21:24Z","environment","Environment","3.2849234894520856"
"2021-07-19T07:15:56Z","money","Money","1.3394389438383856"
"2021-07-19T07:00:52Z","education","Education","1.995202047097865"
"2021-07-19T07:00:52Z","commentisfree","Opinion","1.7532385906878896"
"2021-07-19T07:00:51Z","world","World news","4.572942775443893"
"2021-07-19T07:00:51Z","sport","Sport","2.593098205813061"
"2021-07-19T06:47:44Z","australia-news","Australia news","4.140029866170484"
"2021-07-19T06:21:45Z","sport","Sport","2.3345724395616605"
"2021-07-19T06:09:42Z","commentisfree","Opinion","2.2281542551496454"
"2021-07-19T06:09:31Z","uk-news","UK news","3.345663539047581"
"2021-07-19T06:05:46Z","world","World news","0.8923759147051954"
"2021-07-19T06:01:50Z","global-development","Global development","2.361634630400592"
"2021-07-19T06:00:51Z","books","Books","1.2617639293543441"
"2021-07-19T06:00:51Z","money","Money","2.1142439984164736"
"2021-07-19T06:00:51Z","travel","Travel","1.7667858046927838"
"2021-07-19T06:00:51Z","lifeandstyle","Life and style","0.0"
"2021-07-19T06:00:50Z","science","Science","2.086473213043517"
"2021-07-19T06:00:50Z","us-news","US news","2.1419866557324094"
"2021-07-19T06:00:50Z","uk-news","UK news","2.5384623284538925"
"2021-07-19T06:00:50Z","money","Money","1.5889566923728227"
"2021-07-19T05:47:50Z","music","Music","0.9567439209190808"
"2021-07-19T05:30:10Z","world","World news","3.6877820291679373"
"2021-07-19T05:26:09Z","australia-news","Australia news","2.7092955312756066"
"2021-07-19T05:23:42Z","australia-news","Australia news","1.8453777063174805"
"2021-07-19T05:21:49Z","sport","Sport","0.9237043372037714"
"2021-07-19T05:20:49Z","tv-and-radio","Television & radio","1.8565722606501605"
"2021-07-19T05:00:51Z","music","Music","0.9273825420117121"
"2021-07-19T05:00:50Z","stage","Stage","0.8898318544737024"
"2021-07-19T05:00:50Z","fashion","Fashion","1.6726956887608493"
"2021-07-19T05:00:49Z","commentisfree","Opinion","2.3198661051212235"
"2021-07-19T05:00:49Z","world","World news","3.872561288706491"
"2021-07-19T05:00:49Z","global-development","Global development","1.0021520224805476"
"2021-07-19T05:00:49Z","science","Science","0.0"
"2021-07-19T04:39:52Z","world","World news","2.5242622881587464"
"2021-07-19T04:30:48Z","environment","Environment","0.0"
"2021-07-19T04:06:03Z","australia-news","Australia news","2.1661124467721313"
"2021-07-19T04:00:48Z","world","World news","0.0"
"2021-07-19T03:49:33Z","world","World news","1.7356999565975921"
"2021-07-19T03:34:14Z","environment","Environment","2.5650970624948544"
"2021-07-19T03:30:14Z","australia-news","Australia news","2.4602648489148216"
"2021-07-19T02:38:26Z","australia-news","Australia news","0.0"
"2021-07-19T02:18:06Z","world","World news","1.3775460503234942"
"2021-07-19T01:58:17Z","world","World news","2.009051404247918"
"2021-07-19T01:34:17Z","commentisfree","Opinion","3.612835861028018"
