"2021-03-07T14:00:04Z","lifeandstyle","Life and style","1.111578434665377"
"2021-03-07T14:00:04Z","commentisfree","Opinion","2.131973617926068"
"2021-03-07T13:58:54Z","fashion","Fashion","0.0"
"2021-03-07T13:53:26Z","football","Football","2.2831969423272596"
"2021-03-07T13:51:21Z","news","News","1.971060877138769"
"2021-03-07T13:07:49Z","us-news","US news","0.4975855549652725"
"2021-03-07T13:00:03Z","fashion","Fashion","2.636999506992118"
"2021-03-07T13:00:03Z","music","Music","0.9599644179369401"
"2021-03-07T12:41:15Z","stage","Stage","0.0"
"2021-03-07T12:27:25Z","world","World news","2.2053930975487006"
"2021-03-07T12:13:37Z","world","World news","1.4967311238528707"
"2021-03-07T12:00:01Z","music","Music","2.2306215105112326"
"2021-03-07T11:48:21Z","business","Business","2.324012856075852"
"2021-03-07T11:38:16Z","politics","Politics","2.2789084846629244"
"2021-03-07T11:30:01Z","society","Society","3.60642856728163"
"2021-03-07T11:30:01Z","film","Film","0.6285503316787664"
"2021-03-07T11:19:54Z","world","World news","4.563252746842557"
"2021-03-07T11:15:00Z","world","World news","3.2195742708543382"
"2021-03-07T11:00:01Z","film","Film","1.3529579408522987"
"2021-03-07T11:00:01Z","books","Books","0.0"
"2021-03-07T11:00:01Z","film","Film","0.0"
"2021-03-07T11:00:00Z","society","Society","4.032498627038987"
"2021-03-07T11:00:00Z","us-news","US news","2.8736891103283146"
"2021-03-07T11:00:00Z","environment","Environment","3.837106799564915"
"2021-03-07T10:45:00Z","world","World news","1.381439076138279"
"2021-03-07T10:30:02Z","artanddesign","Art and design","2.9824121025437287"
"2021-03-07T10:30:02Z","stage","Stage","1.1690505319328692"
"2021-03-07T10:30:02Z","uk-news","UK news","2.517898754721667"
"2021-03-07T10:30:02Z","uk-news","UK news","3.3588485075203454"
"2021-03-07T10:27:37Z","politics","Politics","2.1528528766372426"
"2021-03-07T10:00:02Z","society","Society","2.1450877498018577"
"2021-03-07T10:00:02Z","commentisfree","Opinion","3.6810378190642083"
"2021-03-07T10:00:01Z","australia-news","Australia news","3.505974923038033"
"2021-03-07T10:00:01Z","uk-news","UK news","2.5296056334994024"
"2021-03-07T09:45:01Z","environment","Environment","1.4026393559814587"
"2021-03-07T09:30:01Z","tv-and-radio","Television & radio","3.689141075454216"
"2021-03-07T09:30:01Z","lifeandstyle","Life and style","0.9952920963835523"
"2021-03-07T09:30:01Z","artanddesign","Art and design","3.486417332295906"
"2021-03-07T09:30:01Z","stage","Stage","3.2214940022315837"
"2021-03-07T09:30:01Z","lifeandstyle","Life and style","0.5032100407409029"
"2021-03-07T09:30:00Z","world","World news","2.041533639335474"
"2021-03-07T09:24:19Z","world","World news","4.9003242732785735"
"2021-03-07T09:15:00Z","commentisfree","Opinion","2.7522012860114122"
"2021-03-07T09:00:01Z","politics","Politics","2.367045939201162"
"2021-03-07T09:00:01Z","music","Music","0.0"
"2021-03-07T09:00:01Z","us-news","US news","1.1681590233650105"
"2021-03-07T09:00:01Z","books","Books","2.3659796673910436"
"2021-03-07T09:00:01Z","food","Food","0.0"
"2021-03-07T09:00:00Z","education","Education","3.2544056797679843"
"2021-03-07T09:00:00Z","lifeandstyle","Life and style","2.2448308203549985"
"2021-03-07T09:00:00Z","film","Film","0.0"
"2021-03-07T09:00:00Z","commentisfree","Opinion","3.8752104562263034"
"2021-03-07T08:45:02Z","society","Society","3.0543714996110323"
"2021-03-07T08:45:01Z","commentisfree","Opinion","2.8192684609420846"
"2021-03-07T08:30:02Z","money","Money","2.4270343245186914"
"2021-03-07T08:30:02Z","commentisfree","Opinion","1.3444496751770698"
"2021-03-07T08:30:01Z","commentisfree","Opinion","4.409963865174105"
"2021-03-07T08:30:01Z","lifeandstyle","Life and style","2.674112841144069"
"2021-03-07T08:15:01Z","lifeandstyle","Life and style","0.8338145100499165"
"2021-03-07T08:15:01Z","world","World news","4.560367036490532"
"2021-03-07T08:15:01Z","commentisfree","Opinion","2.1321646854959484"
"2021-03-07T08:00:02Z","culture","Culture","0.0"
"2021-03-07T08:00:02Z","society","Society","3.4376947150062223"
"2021-03-07T08:00:01Z","lifeandstyle","Life and style","3.4020367518189123"
"2021-03-07T08:00:01Z","sport","Sport","1.6609657208989002"
"2021-03-07T08:00:01Z","football","Football","0.6387197891364297"
"2021-03-07T08:00:01Z","environment","Environment","1.2545515577756177"
"2021-03-07T07:45:00Z","commentisfree","Opinion","2.1994498911891673"
"2021-03-07T07:43:20Z","uk-news","UK news","2.671418021138169"
"2021-03-07T07:30:00Z","fashion","Fashion","3.258764513945749"
"2021-03-07T07:30:00Z","commentisfree","Opinion","2.077208639436623"
