"2020-02-11T23:35:02Z","members-health-fund-alliance-health-before-profit","Members Health Fund Alliance: Health before profit","3.8411466057782864"
"2020-02-11T16:00:08Z","technology","Technology","2.602111175900198"
"2020-02-11T15:56:07Z","commentisfree","Opinion","2.0993820662928777"
"2020-02-11T15:42:17Z","media","Media","1.9580070707641417"
"2020-02-11T15:39:24Z","business","Business","1.2755429968271879"
"2020-02-11T15:30:07Z","football","Football","1.2310519119114265"
"2020-02-11T15:30:07Z","environment","Environment","3.677275855464497"
"2020-02-11T15:30:00Z","world","World news","1.5988558031035636"
"2020-02-11T15:27:32Z","environment","Environment","1.8495790401168812"
"2020-02-11T15:26:54Z","world","World news","1.2622178135898863"
"2020-02-11T15:26:18Z","sport","Sport","1.2244817710475624"
"2020-02-11T15:25:41Z","environment","Environment","3.6898061553678962"
"2020-02-11T15:14:50Z","world","World news","0.7748538943739998"
"2020-02-11T15:11:04Z","us-news","US news","1.68697862172645"
"2020-02-11T15:05:45Z","world","World news","1.9144763739868513"
"2020-02-11T15:03:43Z","environment","Environment","0.5870764375995371"
"2020-02-11T15:01:08Z","sport","Sport","1.467803989989439"
"2020-02-11T15:00:48Z","gnm-press-office","GNM press office","0.0"
"2020-02-11T14:56:20Z","uk-news","UK news","0.0"
"2020-02-11T14:54:07Z","help","Help","1.342043349357753"
"2020-02-11T14:53:40Z","money","Money","2.382454924878406"
"2020-02-11T14:53:05Z","science","Science","1.8634414078096229"
"2020-02-11T14:41:18Z","uk-news","UK news","3.352236100191396"
"2020-02-11T14:39:44Z","artanddesign","Art and design","1.6004324218289367"
"2020-02-11T14:38:15Z","uk-news","UK news","0.0"
"2020-02-11T14:36:58Z","fashion","Fashion","0.0"
"2020-02-11T14:29:47Z","business","Business","0.0"
"2020-02-11T14:25:44Z","uk-news","UK news","1.4151750166135588"
"2020-02-11T14:25:34Z","law","Law","2.2273208927582333"
"2020-02-11T14:18:27Z","uk-news","UK news","1.8650041359826277"
"2020-02-11T14:17:21Z","commentisfree","Opinion","2.293912497021914"
"2020-02-11T14:15:21Z","travel","Travel","0.9777149558823676"
"2020-02-11T14:10:20Z","uk-news","UK news","2.333918366630565"
"2020-02-11T14:03:53Z","stage","Stage","0.8898318544737024"
"2020-02-11T14:01:54Z","business","Business","1.493051416689695"
"2020-02-11T14:01:18Z","us-news","US news","1.475376386540939"
"2020-02-11T14:00:05Z","food","Food","1.2604044854293484"
"2020-02-11T14:00:05Z","stage","Stage","0.5265025124838695"
"2020-02-11T13:58:39Z","music","Music","0.5536810524156082"
"2020-02-11T13:52:04Z","world","World news","3.713572066704308"
"2020-02-11T13:43:29Z","politics","Politics","1.5980164684787403"
"2020-02-11T13:40:10Z","film","Film","0.0"
"2020-02-11T13:37:46Z","commentisfree","Opinion","0.0"
"2020-02-11T13:32:13Z","media","Media","0.5389965007326871"
"2020-02-11T13:28:38Z","us-news","US news","1.486309945298746"
"2020-02-11T13:24:35Z","music","Music","2.2061631843370306"
"2020-02-11T13:16:01Z","world","World news","2.7714176247877504"
"2020-02-11T13:00:04Z","football","Football","1.8979050169816734"
"2020-02-11T13:00:04Z","society","Society","3.529557363459693"
"2020-02-11T12:56:09Z","uk-news","UK news","1.525430521246843"
"2020-02-11T12:51:58Z","business","Business","2.2430722897115003"
"2020-02-11T12:51:06Z","world","World news","4.0221192776200505"
"2020-02-11T12:40:04Z","lifeandstyle","Life and style","3.65768499007192"
"2020-02-11T12:37:59Z","business","Business","1.4925165743751982"
"2020-02-11T12:31:58Z","business","Business","0.8408736531254504"
"2020-02-11T12:30:03Z","lifeandstyle","Life and style","0.0"
"2020-02-11T12:11:50Z","politics","Politics","1.5231827382993175"
"2020-02-11T12:03:00Z","law","Law","3.4451354169172266"
"2020-02-11T12:00:03Z","society","Society","2.538590185368882"
"2020-02-11T11:57:03Z","global","Global","2.010973742402375"
"2020-02-11T11:56:39Z","film","Film","1.0876231670925147"
"2020-02-11T11:50:30Z","tv-and-radio","Television & radio","1.2004261858811727"
"2020-02-11T11:25:37Z","politics","Politics","1.6686578871000326"
"2020-02-11T11:25:26Z","business","Business","2.136173066279089"
"2020-02-11T11:25:18Z","environment","Environment","1.429019305786232"
"2020-02-11T11:24:54Z","film","Film","1.2444916227446907"
"2020-02-11T11:24:13Z","music","Music","0.8261566001144568"
"2020-02-11T11:23:52Z","business","Business","2.2076354074385915"
"2020-02-11T11:19:09Z","film","Film","1.7331385322754953"
"2020-02-11T11:12:02Z","commentisfree","Opinion","0.7652004982000029"
"2020-02-11T11:10:02Z","commentisfree","Opinion","1.837145811306166"
"2020-02-11T11:03:17Z","football","Football","0.0"
"2020-02-11T11:02:54Z","world","World news","2.2043674648485996"
"2020-02-11T11:01:01Z","commentisfree","Opinion","1.579494886690856"
"2020-02-11T11:00:02Z","commentisfree","Opinion","2.0311065719069585"
"2020-02-11T11:00:02Z","politics","Politics","2.4392778421406707"
"2020-02-11T11:00:02Z","books","Books","1.4503056758439443"
"2020-02-11T11:00:02Z","us-news","US news","2.770832658492182"
"2020-02-11T10:56:49Z","us-news","US news","3.6012378155448967"
"2020-02-11T10:50:51Z","world","World news","2.2557778860877935"
"2020-02-11T10:45:41Z","commentisfree","Opinion","1.5596972161368095"
"2020-02-11T10:42:28Z","stage","Stage","1.2654053619105445"
"2020-02-11T10:30:05Z","music","Music","1.4129370486393238"
"2020-02-11T10:12:16Z","football","Football","0.0"
"2020-02-11T10:01:27Z","politics","Politics","2.3320897222612698"
"2020-02-11T10:00:00Z","sport","Sport","0.6651247506350395"
"2020-02-11T09:54:01Z","music","Music","0.0"
"2020-02-11T09:47:32Z","world","World news","1.5175048131862343"
"2020-02-11T09:47:01Z","world","World news","4.6708593606593745"
"2020-02-11T09:43:06Z","uk-news","UK news","2.1501570664782337"
"2020-02-11T09:15:00Z","music","Music","0.0"
"2020-02-11T09:08:57Z","football","Football","0.877750040440333"
"2020-02-11T09:00:04Z","music","Music","1.5972829206650598"
"2020-02-11T09:00:04Z","us-news","US news","3.290715215884274"
"2020-02-11T09:00:04Z","sport","Sport","0.0"
"2020-02-11T09:00:04Z","environment","Environment","1.6008083596195704"
"2020-02-11T09:00:04Z","lifeandstyle","Life and style","2.153974593542403"
"2020-02-11T08:50:13Z","australia-news","Australia news","1.5038441062118193"
"2020-02-11T08:17:56Z","world","World news","0.0"
"2020-02-11T08:15:03Z","film","Film","0.6214887296574962"
"2020-02-11T08:10:32Z","uk-news","UK news","2.230409735210811"
"2020-02-11T08:00:03Z","books","Books","1.0364830991309857"
"2020-02-11T08:00:03Z","commentisfree","Opinion","0.7818613156881763"
"2020-02-11T08:00:03Z","world","World news","0.5644256980381741"
"2020-02-11T07:45:27Z","stage","Stage","0.0"
"2020-02-11T07:26:52Z","australia-news","Australia news","1.3026870358034301"
"2020-02-11T07:15:02Z","education","Education","3.055931574601272"
"2020-02-11T07:15:01Z","education","Education","1.723300730917309"
"2020-02-11T07:14:42Z","australia-news","Australia news","2.403367741764032"
"2020-02-11T07:04:55Z","australia-news","Australia news","1.6964121692099134"
"2020-02-11T07:00:04Z","money","Money","0.9462549390098228"
"2020-02-11T07:00:04Z","books","Books","0.7242893020678759"
"2020-02-11T07:00:03Z","technology","Technology","1.7615087174531303"
"2020-02-11T07:00:03Z","lifeandstyle","Life and style","2.404876291376287"
"2020-02-11T07:00:03Z","society","Society","0.0"
"2020-02-11T07:00:02Z","commentisfree","Opinion","1.7437947900779198"
"2020-02-11T07:00:02Z","society","Society","3.2501181966740385"
"2020-02-11T07:00:02Z","environment","Environment","2.0416396874054668"
"2020-02-11T07:00:02Z","lifeandstyle","Life and style","1.5501023628961061"
"2020-02-11T07:00:01Z","global-development","Global development","3.3112565674990395"
"2020-02-11T06:57:53Z","lifeandstyle","Life and style","0.0"
"2020-02-11T06:53:16Z","australia-news","Australia news","2.7378074025141808"
"2020-02-11T06:30:16Z","world","World news","3.686871880317295"
"2020-02-11T06:30:01Z","travel","Travel","1.5506224249174212"
"2020-02-11T06:07:18Z","education","Education","1.4408584406806522"
"2020-02-11T06:00:01Z","stage","Stage","0.4414362887286691"
"2020-02-11T06:00:01Z","lifeandstyle","Life and style","2.586811295317606"
"2020-02-11T06:00:01Z","film","Film","0.9742795381222106"
"2020-02-11T06:00:00Z","commentisfree","Opinion","2.0333227296611573"
