"2021-11-07T13:00:02Z","artanddesign","Art and design","1.7234898299630357"
"2021-11-07T13:00:02Z","books","Books","1.0427857924461834"
"2021-11-07T12:59:20Z","sport","Sport","1.5502973373901605"
"2021-11-07T12:49:38Z","politics","Politics","0.9688366473987241"
"2021-11-07T12:40:19Z","crosswords","Crosswords","0.0"
"2021-11-07T12:30:01Z","film","Film","1.3005773779684568"
"2021-11-07T12:25:59Z","world","World news","4.451267872751195"
"2021-11-07T12:08:17Z","tv-and-radio","Television & radio","1.5889566923728227"
"2021-11-07T12:00:02Z","business","Business","2.5718340662390338"
"2021-11-07T12:00:01Z","film","Film","0.0"
"2021-11-07T12:00:01Z","stage","Stage","0.0"
"2021-11-07T12:00:01Z","commentisfree","Opinion","2.6949652529458694"
"2021-11-07T12:00:01Z","global-development","Global development","2.9737627432563296"
"2021-11-07T11:33:00Z","commentisfree","Opinion","2.6007628283219546"
"2021-11-07T11:30:00Z","film","Film","0.0"
"2021-11-07T11:24:00Z","commentisfree","Opinion","1.7410126595654218"
"2021-11-07T11:20:27Z","business","Business","1.5254305212468433"
"2021-11-07T11:15:00Z","uk-news","UK news","3.005117914862801"
"2021-11-07T11:09:41Z","football","Football","1.2746138014434765"
"2021-11-07T11:00:18Z","film","Film","1.4412101187160054"
"2021-11-07T11:00:18Z","artanddesign","Art and design","2.0395621754482396"
"2021-11-07T11:00:18Z","travel","Travel","1.5009254969672445"
"2021-11-07T11:00:18Z","stage","Stage","0.0"
"2021-11-07T11:00:17Z","us-news","US news","2.267233276604183"
"2021-11-07T11:00:17Z","environment","Environment","1.9545308920992204"
"2021-11-07T11:00:17Z","books","Books","1.2870040634885538"
"2021-11-07T11:00:17Z","books","Books","0.9390819863224122"
"2021-11-07T11:00:16Z","commentisfree","Opinion","3.5430771230131026"
"2021-11-07T11:00:16Z","us-news","US news","0.5558913888444403"
"2021-11-07T10:45:16Z","fashion","Fashion","1.8356680302917279"
"2021-11-07T10:30:16Z","theobserver","From the Observer","2.065088841412571"
"2021-11-07T10:30:16Z","stage","Stage","0.715097706810157"
"2021-11-07T10:30:16Z","environment","Environment","2.2335922215070942"
"2021-11-07T10:15:15Z","books","Books","3.3191868964511158"
"2021-11-07T10:11:18Z","world","World news","1.8993901334204206"
